,,,freq,level
,,,11121.96216,-66.9897
,,,11146.62283,-66.9897
,,,11171.2835,-64.5897
,,,11195.94417,-64.5897
,,,11220.60484,-66.9897
,,,11245.26551,-66.9897
,,,11269.92618,-66.9897
,,,11294.58685,-66.9897
,,,11319.24752,-64.5897
,,,11343.90819,-66.9897
,,,11368.56886,-66.9897
,,,11393.22953,-66.9897
,,,11417.8902,-66.9897
,,,11442.55087,-66.9897
,,,11467.21154,-66.9897
,,,11491.87221,-66.9897
,,,11516.53288,-66.9897
,,,11541.19355,-66.9897
,,,11565.85422,-66.9897
,,,11590.51489,-66.9897
,,,11615.17556,-66.9897
,,,11639.83623,-66.9897
,,,11664.4969,-66.9897
,,,11689.15757,-64.5897
,,,11713.81824,-66.9897
,,,11738.47891,-66.9897
,,,11763.13958,-61.3897
,,,11787.80025,-64.5897
,,,11812.46092,-64.5897
,,,11837.12159,-66.9897
,,,11861.78226,-66.9897
,,,11886.44293,-66.9897
,,,11911.1036,-66.9897
,,,11935.76427,-66.9897
,,,11960.42494,-66.9897
,,,11985.08561,-66.9897
,,,12009.74628,-66.9897
,,,12034.40695,-66.9897
,,,12059.06762,-66.9897
,,,12083.72829,-66.9897
,,,12108.38896,-66.9897
,,,12133.04963,-66.9897
,,,12157.7103,-64.5897
,,,12182.37097,-60.5897
,,,12207.03164,-64.5897
,,,12231.69231,-66.9897
,,,12256.35298,-66.9897
,,,12281.01365,-66.9897
,,,12305.67432,-64.5897
,,,12330.33499,-66.9897
,,,12354.99566,-66.9897
,,,12379.65633,-66.9897
,,,12404.317,-66.9897
,,,12428.97767,-66.9897
,,,12453.63834,-66.9897
,,,12478.29901,-66.9897
,,,12502.95968,-66.9897
,,,12527.62035,-66.9897
,,,12552.28102,-60.5897
,,,12576.94169,-60.5897
,,,12601.60236,-60.5897
,,,12626.26303,-66.9897
,,,12650.9237,-66.9897
,,,12675.58437,-66.9897
,,,12700.24504,-66.9897
,,,12724.90571,-64.5897
,,,12749.56638,-66.9897
,,,12774.22705,-66.9897
,,,12798.88772,-64.5897
,,,12823.54839,-66.9897
,,,12848.20906,-66.9897
,,,12872.86973,-66.9897
,,,12897.5304,-66.9897
,,,12922.19107,-66.9897
,,,12946.85174,-66.9897
,,,12971.51241,-66.9897
,,,12996.17308,-66.9897
,,,13020.83375,-66.9897
,,,13045.49442,-66.9897
,,,13070.15509,-66.9897
,,,13094.81576,-66.9897
,,,13119.47643,-64.5897
,,,13144.1371,-66.9897
,,,13168.79777,-66.9897
,,,13193.45844,-66.9897
,,,13218.11911,-66.9897
,,,13242.77978,-66.9897
,,,13267.44045,-64.5897
,,,13292.10112,-66.9897
,,,13316.76179,-66.9897
,,,13341.42246,-66.9897
,,,13366.08313,-66.9897
,,,13390.7438,-66.9897
,,,13415.40447,-66.9897
,,,13440.06514,-66.9897
,,,13464.72581,-66.9897
,,,13489.38648,-66.9897
,,,13514.04715,-64.5897
,,,13538.70782,-66.9897
,,,13563.36849,-60.5897
,,,13588.02916,-61.3897
,,,13612.68983,-61.3897
,,,13637.3505,-66.9897
,,,13662.01117,-66.9897
,,,13686.67184,-66.9897
,,,13711.33251,-66.9897
,,,13735.99318,-66.9897
,,,13760.65385,-64.5897
,,,13785.31452,-66.9897
,,,13809.97519,-66.9897
,,,13834.63586,-66.9897
,,,13859.29653,-66.9897
,,,13883.9572,-66.9897
,,,13908.61787,-66.9897
,,,13933.27854,-66.9897
,,,13957.93921,-64.5897
,,,13982.59988,-66.9897
,,,14007.26055,-66.9897
,,,14031.92122,-66.9897
,,,14056.58189,-66.9897
,,,14081.24256,-66.9897
,,,14105.90323,-66.9897
,,,14130.5639,-66.9897
,,,14155.22457,-64.5897
,,,14179.88524,-64.5897
,,,14204.54591,-64.5897
,,,14229.20658,-66.9897
,,,14253.86725,-66.9897
,,,14278.52792,-64.5897
,,,14303.18859,-64.5897
,,,14327.84926,-61.3897
,,,14352.50993,-61.3897
,,,14377.1706,-64.5897
,,,14401.83127,-64.5897
,,,14426.49194,-66.9897
,,,14451.15261,-66.9897
,,,14475.81328,-66.9897
,,,14500.47395,-66.9897
,,,14525.13462,-64.5897
,,,14549.79529,-60.5897
,,,14574.45596,-60.5897
,,,14599.11663,-66.9897
,,,14623.7773,-66.9897
,,,14648.43797,-60.5897
,,,14673.09864,-66.9897
,,,14697.75931,-64.5897
,,,14722.41998,-61.3897
,,,14747.08065,-66.9897
,,,14771.74132,-64.5897
,,,14796.40199,-66.9897
,,,14821.06266,-66.9897
,,,14845.72333,-66.9897
,,,14870.384,-66.9897
,,,14895.04467,-66.9897
,,,14919.70534,-64.5897
,,,14944.36601,-66.9897
,,,14969.02668,-66.9897
,,,14993.68735,-66.9897
,,,15018.34802,-66.9897
,,,15043.00869,-64.5897
,,,15067.66936,-66.9897
,,,15092.33003,-66.9897
,,,15116.9907,-64.5897
,,,15141.65137,-66.9897
,,,15166.31204,-66.9897
,,,15190.97271,-66.9897
,,,15215.63338,-64.5897
,,,15240.29405,-66.9897
,,,15264.95472,-66.9897
,,,15289.61539,-66.9897
,,,15314.27606,-61.3897
,,,15338.93673,-60.5897
,,,15363.5974,-60.5897
,,,15388.25807,-64.5897
,,,15412.91874,-66.9897
,,,15437.57941,-66.9897
,,,15462.24008,-66.9897
,,,15486.90075,-66.9897
,,,15511.56142,-66.9897
,,,15536.22209,-66.9897
,,,15560.88276,-66.9897
,,,15585.54343,-66.9897
,,,15610.2041,-66.9897
,,,15634.86477,-64.5897
,,,15659.52544,-64.5897
,,,15684.18611,-64.5897
,,,15708.84678,-66.9897
