,,,-4.72000008E-3,0.0,,,,,-4.72000008E-3,-39.99999911E-3,
,,,-4.71600005E-3,0.0,,,,,-4.71600005E-3,0.0,
,,,-4.71200002E-3,0.0,,,,,-4.71200002E-3,79.999998212E-3,
,,,-4.70799999E-3,0.0,,,,,-4.70799999E-3,119.9999973E-3,
,,,-4.70399996E-3,0.0,,,,,-4.70399996E-3,79.999998212E-3,
,,,-4.69999993E-3,0.0,,,,,-4.69999993E-3,0.0,
,,,-4.69600037E-3,0.0,,,,,-4.69600037E-3,-79.999998212E-3,
,,,-4.69200034E-3,0.0,,,,,-4.69200034E-3,-79.999998212E-3,
,,,-4.68800031E-3,0.0,,,,,-4.68800031E-3,0.0,
,,,-4.68400028E-3,0.0,,,,,-4.68400028E-3,39.99999911E-3,
,,,-4.68000025E-3,0.0,,,,,-4.68000025E-3,79.999998212E-3,
,,,-4.67600022E-3,0.0,,,,,-4.67600022E-3,79.999998212E-3,
,,,-4.67200018E-3,0.0,,,,,-4.67200018E-3,79.999998212E-3,
,,,-4.66800015E-3,39.99999911E-3,,,,,-4.66800015E-3,39.99999911E-3,
,,,-4.66400012E-3,0.0,,,,,-4.66400012E-3,-79.999998212E-3,
,,,-4.66000009E-3,-39.99999911E-3,,,,,-4.66000009E-3,-79.999998212E-3,
,,,-4.65600006E-3,0.0,,,,,-4.65600006E-3,-39.99999911E-3,
,,,-4.65200003E-3,0.0,,,,,-4.65200003E-3,39.99999911E-3,
,,,-4.64800000E-3,0.0,,,,,-4.64800000E-3,119.9999973E-3,
,,,-4.64399997E-3,0.0,,,,,-4.64399997E-3,79.999998212E-3,
,,,-4.63999994E-3,0.0,,,,,-4.63999994E-3,0.0,
,,,-4.63600038E-3,0.0,,,,,-4.63600038E-3,-39.99999911E-3,
,,,-4.63200035E-3,0.0,,,,,-4.63200035E-3,-39.99999911E-3,
,,,-4.62800032E-3,0.0,,,,,-4.62800032E-3,-39.99999911E-3,
,,,-4.62400028E-3,0.0,,,,,-4.62400028E-3,0.0,
,,,-4.62000025E-3,39.99999911E-3,,,,,-4.62000025E-3,39.99999911E-3,
,,,-4.61600022E-3,0.0,,,,,-4.61600022E-3,79.999998212E-3,
,,,-4.61200019E-3,0.0,,,,,-4.61200019E-3,79.999998212E-3,
,,,-4.60800016E-3,0.0,,,,,-4.60800016E-3,0.0,
,,,-4.60400013E-3,0.0,,,,,-4.60400013E-3,-79.999998212E-3,
,,,-4.60000010E-3,0.0,,,,,-4.60000010E-3,-119.9999973E-3,
,,,-4.59600007E-3,0.0,,,,,-4.59600007E-3,0.0,
,,,-4.59200004E-3,0.0,,,,,-4.59200004E-3,39.99999911E-3,
,,,-4.58800001E-3,0.0,,,,,-4.58800001E-3,39.99999911E-3,
